;;;;;;;;0800/A2100.0001;Personalbezüge und Arbeitgeberbeiträge;1;113'653'834 CHF;109'606'842 CHF;108'408'091 CHF;55'868'356 CHF;53'779'092 CHF;58'929'129 CHF;67'200'777 CHF;65'530'678 CHF;66'238'129 CHF;66'087'717 CHF;67'452'600 CHF;68'810'457 CHF
;;;;;;;;0800/A2101.0126;Arbeitgeberleistungen;1;1'858'023 CHF;2'520'002 CHF;2'501'321 CHF;2'445'036 CHF;3'250'854 CHF;2'151'368 CHF;2'468'953 CHF;2'600'480 CHF;0 CHF;;;
;;;;;;;;0800/A2109.0001;Übriger Personalaufwand;1;1'759'376 CHF;1'680'602 CHF;1'537'533 CHF;811'031 CHF;1'007'777 CHF;856'569 CHF;958'594 CHF;1'925'470 CHF;1'969'790 CHF;877'625 CHF;1'500'000 CHF;1'454'682 CHF
;;;;;;;;0800/A2111.0159;Infrastruktur;1;6'262'791 CHF;5'709'039 CHF;5'493'083 CHF;;;;;;;;;
;;;;;;;;0800/A2113.0001;Raummiete;1;;;;;;;;;;;;0 CHF
;;;;;;;;0800/A2114.0001;Informatik Sachaufwand;1;;;;3'639'800 CHF;3'437'160 CHF;3'294'569 CHF;3'710'994 CHF;3'234'807 CHF;3'848'690 CHF;3'913'615 CHF;3'900'000 CHF;2'564'209 CHF
;;;;;;;;0800/A2115.0001;Beratungsaufwand;1;3'584'315 CHF;3'439'722 CHF;4'356'204 CHF;1'100'006 CHF;1'049'591 CHF;3'119'797 CHF;3'271'440 CHF;2'073'430 CHF;2'923'798 CHF;2'080'390 CHF;3'200'000 CHF;1'910'101 CHF
;;;;;;;;0800/A2117.0104;Nicht aktivierbare Anlagen;1;4'232'378 CHF;3'658'376 CHF;3'992'088 CHF;;;;;;;;;
;;;;;;;;0800/A2119.0001;Übriger Betriebsaufwand;1;11'937'318 CHF;11'752'156 CHF;10'296'791 CHF;13'577'872 CHF;12'615'973 CHF;13'176'980 CHF;10'186'985 CHF;9'876'359 CHF;8'926'789 CHF;8'385'069 CHF;17'410'200 CHF;11'819'828 CHF
;;;;;;;;0800/A2180.0001;Abschreibungen Verwaltungsvermögen;1;;;;;32'284 CHF;105'405 CHF;572'437 CHF;;;;;
;;;;;;;;0800/A4100.0001;Sach- und immaterielle Anlagen, Vorräte;1;4'260'864 CHF;3'402'218 CHF;4'940'021 CHF;3'176'127 CHF;5'895'093 CHF;3'855'250 CHF;6'057'188 CHF;6'006'195 CHF;5'130'911 CHF;4'664'958 CHF;7'650'000 CHF;3'877'895 CHF
;;;;;;;;0810/A6100.0001;Funktionsaufwand (Globalbudget);1;;;;124'963'605 CHF;126'766'277 CHF;151'433'128 CHF;150'498'757 CHF;160'285'211 CHF;161'630'799 CHF;167'859'334 CHF;178'710'300 CHF;173'289'270 CHF
;;;;;;;;0810/A6210.0150;Vertragliche Leistungen;1;;;;700'159 CHF;609'404 CHF;869'809 CHF;990'000 CHF;898'599 CHF;;;;
;;;;;;;;0810/A8100.0001;Sach- und immaterielle Anlagen, Vorräte (Globalbudget);1;;;;202'215'636 CHF;218'759'312 CHF;230'051'251 CHF;216'937'575 CHF;232'673'098 CHF;276'256'334 CHF;331'162'100 CHF;277'513'400 CHF;284'468'974 CHF
;;;;;;;;0820/A6100.0001;Funktionsaufwand (Globalbudget);1;;;;33'351'398 CHF;32'969'575 CHF;31'836'865 CHF;19'418'367 CHF;18'516'718 CHF;19'031'896 CHF;18'965'213 CHF;19'337'000 CHF;19'018'416 CHF
;;;;;;;;0820/A8100.0001;Sach- und immaterielle Anlagen, Vorräte (Globalbudget);1;;;;2'061'065 CHF;2'382'208 CHF;2'923'512 CHF;2'748'352 CHF;1'063'878 CHF;2'963'864 CHF;2'759'265 CHF;2'450'000 CHF;2'707'891 CHF
;;;;;;;;1000/A2100.0001;Personalbezüge und Arbeitgeberbeiträge;1;25'758'998 CHF;26'028'341 CHF;26'951'330 CHF;28'216'128 CHF;29'421'004 CHF;32'353'330 CHF;34'017'834 CHF;34'549'191 CHF;35'398'242 CHF;36'184'310 CHF;36'219'200 CHF;36'951'694 CHF
;;;;;;;;1000/A2101.0101;Jahresvergütung Mitglieder Nationalrat/Zulagen Ratspräsidium;1;11'168'632 CHF;11'203'397 CHF;11'200'832 CHF;10'246'751 CHF;11'292'382 CHF;11'401'289 CHF;11'399'164 CHF;11'411'872 CHF;11'365'489 CHF;11'849'680 CHF;11'874'000 CHF;11'899'793 CHF
;;;;;;;;1000/A2101.0102;Jahresvergütung Mitglieder Ständerat/Zulagen Ratspräsidium;1;2'398'500 CHF;2'405'334 CHF;2'406'001 CHF;2'406'000 CHF;2'652'419 CHF;2'635'289 CHF;2'642'144 CHF;2'666'998 CHF;2'675'031 CHF;2'767'073 CHF;2'780'000 CHF;2'765'824 CHF
;;;;;;;;1000/A2101.0103;Sessionen des Nationalrates;1;6'508'570 CHF;6'484'216 CHF;6'831'863 CHF;6'638'276 CHF;6'721'955 CHF;7'402'670 CHF;6'919'690 CHF;7'100'565 CHF;7'221'056 CHF;7'515'340 CHF;7'579'200 CHF;7'700'648 CHF
;;;;;;;;1000/A2101.0104;Sessionen des Ständerates;1;1'352'690 CHF;1'510'754 CHF;1'505'746 CHF;1'560'693 CHF;1'568'252 CHF;1'668'227 CHF;1'656'995 CHF;1'580'950 CHF;1'660'331 CHF;1'714'842 CHF;1'792'500 CHF;1'708'858 CHF
;;;;;;;;1000/A2101.0105;Kommissionen und Delegationen des Nationalrates;1;4'978'422 CHF;5'381'673 CHF;5'437'507 CHF;5'148'264 CHF;5'531'741 CHF;5'703'902 CHF;5'670'972 CHF;5'634'615 CHF;5'893'078 CHF;5'667'578 CHF;6'476'000 CHF;5'632'623 CHF
;;;;;;;;1000/A2101.0106;Kommissionen und Delegationen des Ständerates;1;1'724'952 CHF;1'838'733 CHF;1'860'011 CHF;1'836'009 CHF;1'767'361 CHF;1'865'923 CHF;2'028'288 CHF;1'936'595 CHF;2'009'790 CHF;1'985'529 CHF;2'208'500 CHF;1'991'006 CHF
;;;;;;;;1000/A2101.0107;Delegationen in internationalen Organisationen;1;1'236'785 CHF;1'247'000 CHF;1'238'396 CHF;1'046'513 CHF;1'170'946 CHF;1'088'215 CHF;1'544'030 CHF;1'066'447 CHF;1'017'065 CHF;1'263'315 CHF;2'500'000 CHF;1'814'955 CHF
;;;;;;;;1000/A2101.0108;Internationale Beziehungen;1;173'859 CHF;268'622 CHF;256'309 CHF;269'172 CHF;292'723 CHF;294'934 CHF;293'890 CHF;327'734 CHF;302'718 CHF;477'027 CHF;350'000 CHF;335'515 CHF
;;;;;;;;1000/A2101.0109;Vorsorgeentschädigung;1;2'210'026 CHF;2'237'118 CHF;2'218'579 CHF;2'253'691 CHF;2'290'363 CHF;2'317'053 CHF;2'298'647 CHF;2'313'364 CHF;2'388'815 CHF;2'385'068 CHF;2'442'600 CHF;2'326'190 CHF
;;;;;;;;1000/A2101.0110;Vorsorgeleistungen;1;1'582'052 CHF;1'152'649 CHF;908'100 CHF;911'252 CHF;417'919 CHF;548'880 CHF;369'093 CHF;406'611 CHF;596'049 CHF;399'423 CHF;580'000 CHF;353'115 CHF
;;;;;;;;1000/A2101.0153;Arbeitgeberbeiträge Ratsmitglieder;1;;;;932'738 CHF;1'026'850 CHF;1'045'815 CHF;1'324'311 CHF;1'226'255 CHF;1'195'079 CHF;1'196'766 CHF;1'350'000 CHF;1'203'383 CHF
;;;;;;;;1000/A2101.0154;Ausbildung Ratsmitglieder;1;;;;29'147 CHF;59'752 CHF;45'500 CHF;56'164 CHF;31'708 CHF;59'912 CHF;53'693 CHF;60'000 CHF;38'678 CHF
;;;;;;;;1000/A2101.0159;Internationales und interparlamentariiche Beziehungen;1;;;;;;;;;;;;
;;;;;;;;1000/A2109.0001;Übriger Personalaufwand;1;27'341 CHF;46'826 CHF;35'257 CHF;145'519 CHF;145'307 CHF;340'030 CHF;301'124 CHF;223'377 CHF;262'911 CHF;284'014 CHF;355'000 CHF;361'585 CHF
;;;;;;;;1000/A2109.0002;Übriger Personalaufwand;1;89'868 CHF;153'587 CHF;116'260 CHF;;;;;;;;;
;;;;;;;;1000/A2111.0280;Untersuchung Insieme;1;;;;;;;;;;;;
;;;;;;;;1000/A2114.0001;Informatik Sachaufwand;1;;;;8'460'783 CHF;8'495'481 CHF;8'238'323 CHF;2'320'071 CHF;3'280'023 CHF;2'535'814 CHF;5'151'551 CHF;4'423'800 CHF;4'393'601 CHF
;;;;;;;;1000/A2115.0001;Beratungsaufwand;1;316'911 CHF;450'695 CHF;442'119 CHF;4'506'006 CHF;394'876 CHF;289'592 CHF;264'602 CHF;267'396 CHF;221'537 CHF;284'047 CHF;290'000 CHF;252'246 CHF
;;;;;;;;1000/A2115.0002;Beratungsaufwand;1;997'777 CHF;1'089'721 CHF;1'911'222 CHF;410'104 CHF;392'908 CHF;285'810 CHF;308'701 CHF;382'918 CHF;144'435 CHF;204'303 CHF;430'000 CHF;218'939 CHF
;;;;;;;;1000/A2119.0001;Übriger Betriebsaufwand;1;922'949 CHF;875'490 CHF;891'922 CHF;869'425 CHF;5'793'766 CHF;5'650'092 CHF;6'359'842 CHF;6'064'627 CHF;5'824'686 CHF;6'360'037 CHF;6'976'400 CHF;6'232'035 CHF
;;;;;;;;1000/A2119.0002;Übriger Betriebsaufwand;1;8'486'143 CHF;8'756'037 CHF;9'270'597 CHF;5'841'719 CHF;5'953'580 CHF;6'079'194 CHF;9'293'575 CHF;12'758'384 CHF;8'966'656 CHF;8'946'390 CHF;9'013'200 CHF;8'658'435 CHF
;;;;;;;;1000/A4100.0001;Sach- und immaterielle Anlagen, Vorräte;1;5'227'356 CHF;4'305'415 CHF;5'206'969 CHF;;;;5'504'205 CHF;5'964'231 CHF;7'349'900 CHF;4'957'797 CHF;4'820'000 CHF;4'311'220 CHF
;;;;;;;;1001/A2101.0111;Besoldungen und Repräsentationszulagen Bundesrat;1;3'631'445 CHF;3'678'472 CHF;3'693'692 CHF;3'736'257 CHF;3'768'068 CHF;7'243'149 CHF;7'476'002 CHF;7'908'602 CHF;8'503'595 CHF;8'518'685 CHF;8'854'400 CHF;8'358'560 CHF
;;;;;;;;1001/A2111.0126;Repräsentationskosten und dienstliche Auslagen;1;1'561'481 CHF;1'336'998 CHF;1'483'759 CHF;1'541'892 CHF;1'517'483 CHF;1'879'096 CHF;1'819'757 CHF;1'524'443 CHF;1'552'891 CHF;1'418'940 CHF;2'277'000 CHF;1'412'758 CHF
;;;;;;;;1001/A2114.0001;Informatik Sachaufwand;1;;;;;;;;;;;;
;;;;;;;;1001/A2119.0001;Übriger Betriebsaufwand;1;1'090'051 CHF;61'634 CHF;45'360 CHF;77'303 CHF;96'426 CHF;163'288 CHF;191'395 CHF;159'576 CHF;157'485 CHF;189'734 CHF;431'000 CHF;289'402 CHF
;;;;;;;;1002/A2100.0001;Personalbezüge und Arbeitgeberbeiträge;1;23'683'925 CHF;24'242'391 CHF;23'856'216 CHF;24'346'049 CHF;24'648'992 CHF;27'076'161 CHF;27'727'002 CHF;29'035'989 CHF;29'783'873 CHF;30'755'222 CHF;30'702'300 CHF;31'601'882 CHF
;;;;;;;;1002/A2100.0002;Personalbezüge und Arbeitgeberbeiträge;1;952'200 CHF;841'919 CHF;788'455 CHF;738'405 CHF;686'153 CHF;0 CHF;;;;;;
;;;;;;;;1002/A2100.0003;Personalbezüge und Arbeitgeberbeiträge;1;2'848'926 CHF;3'107'343 CHF;3'037'397 CHF;3'424'213 CHF;3'600'141 CHF;3'929'447 CHF;4'333'990 CHF;4'424'015 CHF;4'687'648 CHF;4'718'007 CHF;4'882'400 CHF;5'035'007 CHF
;;;;;;;;1002/A2109.0001;Übriger Personalaufwand;1;64'452 CHF;77'095 CHF;100'022 CHF;166'509 CHF;178'909 CHF;207'399 CHF;123'136 CHF;141'143 CHF;222'729 CHF;244'973 CHF;191'200 CHF;355'938 CHF
;;;;;;;;1002/A2109.0002;Übriger Personalaufwand;1;1'250 CHF;850 CHF;1'798 CHF;1'293 CHF;760 CHF;;;;;;;
;;;;;;;;1002/A2109.0003;Übriger Personalaufwand;1;14'657 CHF;16'785 CHF;13'345 CHF;14'701 CHF;15'082 CHF;34'630 CHF;17'334 CHF;12'359 CHF;4'965 CHF;11'552 CHF;18'300 CHF;16'826 CHF
;;;;;;;;1002/A2111.0127;Betrieb Behördenportal www.ch.ch;1;316'146 CHF;403'863 CHF;337'822 CHF;248'189 CHF;;;;;;;;
;;;;;;;;1002/A2114.0001;Informatik Sachaufwand;1;;;;4'053'976 CHF;3'403'962 CHF;460'190 CHF;711'592 CHF;881'713 CHF;741'204 CHF;1'219'880 CHF;662'000 CHF;637'946 CHF
;;;;;;;;1002/A2114.0003;Informatik Sachaufwand;1;;;;;;;;;34'489 CHF;27'133 CHF;50'000 CHF;22'934 CHF
;;;;;;;;1002/A2115.0001;Beratungsaufwand;1;1'817'243 CHF;1'108'975 CHF;1'209'674 CHF;1'213'557 CHF;1'186'718 CHF;757'293 CHF;923'891 CHF;369'532 CHF;690'162 CHF;590'618 CHF;996'900 CHF;890'131 CHF
;;;;;;;;1002/A2115.0002;Beratungsaufwand;1;308'268 CHF;322'253 CHF;326'621 CHF;276'531 CHF;188'336 CHF;;;;;;;
;;;;;;;;1002/A2115.0003;Beratungsaufwand;1;176'582 CHF;298'244 CHF;65'406 CHF;43'658 CHF;60'756 CHF;48'588 CHF;72'314 CHF;86'738 CHF;82'330 CHF;85'039 CHF;90'000 CHF;69'983 CHF
;;;;;;;;1002/A2115.0004;Beratungsaufwand;1;49'711 CHF;62'929 CHF;63'275 CHF;;;;;;;;;
;;;;;;;;1002/A2119.0001;Übriger Betriebsaufwand;1;4'228'360 CHF;4'412'039 CHF;4'091'157 CHF;4'317'690 CHF;4'928'517 CHF;4'924'272 CHF;4'321'938 CHF;5'105'084 CHF;4'926'973 CHF;5'001'943 CHF;5'242'600 CHF;4'975'669 CHF
;;;;;;;;1002/A2119.0002;Übriger Betriebsaufwand;1;162'985 CHF;162'457 CHF;162'988 CHF;162'912 CHF;162'113 CHF;;;;;;;
;;;;;;;;1002/A2119.0003;Übriger Betriebsaufwand;1;32'684 CHF;331'836 CHF;30'816 CHF;42'105 CHF;52'344 CHF;69'854 CHF;66'526 CHF;81'780 CHF;66'120 CHF;82'881 CHF;122'700 CHF;74'997 CHF
;;;;;;;;1002/A2119.0004;Übriger Betriebsaufwand;1;1'299 CHF;1'498 CHF;1'893 CHF;;;;;;;;;
;;;;;;;;1002/A4100.0001;Sach- und immaterielle Anlagen, Vorräte;1;10'760'122 CHF;3'054'757 CHF;4'685'040 CHF;;;4'030'422 CHF;2'749'136 CHF;2'858'789 CHF;3'348'605 CHF;2'881'634 CHF;3'996'600 CHF;1'949'212 CHF
;;;;;;;;1002/A4100.0003;Sach- und immaterielle Anlagen, Vorräte;1;;;;;;;;;;;50'000 CHF;8'850 CHF
;;;;;;;;1003/A2100.0001;Personalbezüge und Arbeitgeberbeiträge;1;29'076'390 CHF;29'436'451 CHF;30'369'812 CHF;43'222'162 CHF;43'952'798 CHF;47'347'881 CHF;49'485'667 CHF;49'439'098 CHF;49'746'110 CHF;50'302'445 CHF;51'119'600 CHF;50'558'063 CHF
;;;;;;;;1003/A2101.0113;Besoldungen und Arbeitgeberbeiträge Richter;1;11'310'862 CHF;11'362'891 CHF;11'347'890 CHF;15'469'189 CHF;14'855'682 CHF;24'946'202 CHF;25'409'166 CHF;25'395'025 CHF;25'550'288 CHF;25'674'329 CHF;26'811'700 CHF;25'609'399 CHF
;;;;;;;;1003/A2101.0114;Bezüge der Eidg. Schätzungskommission;1;50'643 CHF;52'937 CHF;95'228 CHF;;;;;;;;;
;;;;;;;;1003/A2109.0001;Übriger Personalaufwand;1;88'163 CHF;89'388 CHF;64'933 CHF;263'186 CHF;427'627 CHF;317'529 CHF;373'276 CHF;472'590 CHF;382'811 CHF;403'087 CHF;505'000 CHF;497'417 CHF
;;;;;;;;1003/A2114.0001;Informatik Sachaufwand;1;;;;3'610'067 CHF;2'866'851 CHF;2'824'658 CHF;2'653'936 CHF;1'915'925 CHF;1'931'949 CHF;1'806'490 CHF;1'895'000 CHF;1'748'783 CHF
;;;;;;;;1003/A2115.0001;Beratungsaufwand;1;620'037 CHF;541'490 CHF;715'475 CHF;864'664 CHF;99'807 CHF;51'289 CHF;51'604 CHF;71'814 CHF;71'667 CHF;157'979 CHF;180'000 CHF;61'089 CHF
;;;;;;;;1003/A2117.0100;Anschaffung von Mobiliar, Maschinen, Geräte, Einrichtungen;1;197'628 CHF;237'013 CHF;104'363 CHF;;;;;;;;;
;;;;;;;;1003/A2119.0001;Übriger Betriebsaufwand;1;2'711'056 CHF;2'635'359 CHF;2'840'428 CHF;4'539'742 CHF;4'930'524 CHF;4'541'459 CHF;4'769'212 CHF;4'469'699 CHF;4'795'454 CHF;5'150'154 CHF;5'701'500 CHF;5'361'851 CHF
;;;;;;;;1003/A4100.0001;Sach- und immaterielle Anlagen, Vorräte;1;3'682'182 CHF;2'809'166 CHF;3'562'796 CHF;825'780 CHF;573'277 CHF;1'350'656 CHF;993'033 CHF;676'657 CHF;456'093 CHF;557'725 CHF;625'000 CHF;566'408 CHF
;;;;;;;;1004/A2100.0001;Personalbezüge und Arbeitgeberbeiträge;1;11'073'635 CHF;11'238'671 CHF;11'414'849 CHF;;;;;;;;;
;;;;;;;;1004/A2101.0115;Besoldungen und Arbeitgeberbeiträge Richter;1;4'565'692 CHF;4'573'158 CHF;4'588'599 CHF;;;;;;;;;
;;;;;;;;1004/A2109.0001;Übriger Personalaufwand;1;88'956 CHF;75'487 CHF;66'707 CHF;;;;;;;;;
;;;;;;;;1004/A2113.0001;Raummiete;1;1'320 CHF;8'056 CHF;;;;;;;;;;
;;;;;;;;1004/A2115.0001;Beratungsaufwand;1;286'006 CHF;297'377 CHF;371'860 CHF;;;;;;;;;
;;;;;;;;1004/A2117.0101;Nicht aktivierbare Sachgüter;1;50'137 CHF;137'445 CHF;100'940 CHF;;;;;;;;;
;;;;;;;;1004/A2119.0001;Übriger Betriebsaufwand;1;717'879 CHF;710'337 CHF;867'083 CHF;;;;;;;;;
;;;;;;;;1005/A2100.0001;Personalbezüge und Arbeitgeberbeiträge;1;277'896'709 CHF;279'127'192 CHF;277'659'159 CHF;292'211'913 CHF;295'741'933 CHF;341'936'284 CHF;339'626'903 CHF;343'449'219 CHF;356'298'076 CHF;373'818'316 CHF;376'067'800 CHF;0 CHF
;;;;;;;;1005/A2101.0130;Leistungen an die PKB;1;327'471 CHF;;;;;;;;;;;
;;;;;;;;1005/A2101.0131;Arbeitgeberbeiträge Vorzeitiger Altersrücktritt;1;4'352'568 CHF;5'334'989 CHF;6'371'434 CHF;6'000'000 CHF;9'529'603 CHF;1'815'941 CHF;5'457'873 CHF;5'046'198 CHF;6'726'297 CHF;6'117'339 CHF;8'000'000 CHF;
;;;;;;;;1005/A2101.0145;Kostenausgleich für Bedienstete im Ausland;1;23'207'162 CHF;22'599'238 CHF;24'991'459 CHF;27'448'235 CHF;24'591'264 CHF;35'291'813 CHF;29'487'940 CHF;25'096'630 CHF;23'340'585 CHF;27'520'412 CHF;31'470'100 CHF;0 CHF
;;;;;;;;1005/A2109.0001;Übriger Personalaufwand;1;1'255'906 CHF;950'749 CHF;957'647 CHF;1'594'953 CHF;1'706'801 CHF;1'577'586 CHF;1'467'828 CHF;1'718'144 CHF;1'457'071 CHF;1'681'355 CHF;2'408'500 CHF;
;;;;;;;;1005/A2111.0173;Besondere Schutzmassnahmen;1;9'777'818 CHF;2'050'000 CHF;2'906'086 CHF;2'403'778 CHF;2'268'160 CHF;;;;;;;
;;;;;;;;1005/A2111.0174;Interessenwahrung: Kulturelle Aktionen der Vertretungen;1;962'403 CHF;1'500'057 CHF;1'419'539 CHF;1'162'056 CHF;1'522'500 CHF;1'102'981 CHF;998'062 CHF;1'171'557 CHF;1'262'899 CHF;;;
;;;;;;;;1005/A2111.0181;Aktionen für die Exportförderung;1;98'500 CHF;246'822 CHF;418'960 CHF;523'930 CHF;699'832 CHF;780'000 CHF;700'000 CHF;1'000'000 CHF;662'954 CHF;723'733 CHF;1'000'000 CHF;
;;;;;;;;1005/A2111.0223;Interessenwahrung: Einladungskosten;1;11'753'439 CHF;11'129'985 CHF;11'282'150 CHF;11'620'404 CHF;11'548'980 CHF;;;;;;;
;;;;;;;;1005/A2111.0224;Mietmehrkosten Ausland;1;17'796'315 CHF;17'920'966 CHF;19'723'711 CHF;19'236'053 CHF;18'164'592 CHF;0 CHF;;;;;;
;;;;;;;;1005/A2111.0267;XIII. Frankophoniegipfel in Montreux;1;;;;;;;23'888'667 CHF;37'500 CHF;;;;
;;;;;;;;1005/A2111.0270;Weltausstellungen;1;;;;;;;;2'108'386 CHF;5'445'319 CHF;1'999'994 CHF;7'600'000 CHF;
;;;;;;;;1005/A2111.0271;Präsenz an sportlichen Grossveranstaltungen;1;;;;;;;;968'281 CHF;3'716'446 CHF;1'074'560 CHF;1'663'900 CHF;
;;;;;;;;1005/A2111.0281;OSZE - Ministerratstagung in Basel;1;;;;;;;;;;;10'770'000 CHF;
;;;;;;;;1005/A2114.0001;Informatik Sachaufwand;1;;;;4'988'776 CHF;4'810'035 CHF;1'954'139 CHF;-808'114 CHF;0 CHF;0 CHF;;;
;;;;;;;;1005/A2115.0001;Beratungsaufwand;1;3'809'565 CHF;3'856'672 CHF;4'102'137 CHF;3'510'952 CHF;2'509'345 CHF;2'334'672 CHF;2'668'147 CHF;2'978'400 CHF;2'334'504 CHF;2'720'254 CHF;3'373'800 CHF;
;;;;;;;;1005/A2115.0003;Beratungsaufwand;1;617 CHF;;;;;;;;;;;
;;;;;;;;1005/A2119.0001;Übriger Betriebsaufwand;1;36'927'869 CHF;37'162'185 CHF;37'331'869 CHF;41'061'165 CHF;41'404'305 CHF;85'093'587 CHF;67'528'951 CHF;65'707'964 CHF;71'516'964 CHF;87'965'098 CHF;82'519'300 CHF;46'538'918 CHF
;;;;;;;;1005/A2180.0001;Abschreibungen Verwaltungsvermögen;1;;;;;;;;;-1'626'281 CHF;;;
;;;;;;;;1005/A2310.0243;Hilfeleistungen an kriegsgeschädigte Auslandschweizer;1;6'115 CHF;6'006 CHF;6'071 CHF;;;;;;;;;
;;;;;;;;1005/A2310.0246;Beiträge an Institutionen des internationalen Rechts;1;2'053'303 CHF;2'661'429 CHF;2'852'664 CHF;3'265'357 CHF;2'502'486 CHF;2'839'748 CHF;2'254'941 CHF;2'456'111 CHF;5'799'350 CHF;2'276'811 CHF;2'471'600 CHF;
;;;;;;;;1005/A2310.0247;Freiwillige Aktionen zu Gunsten des Völkerrechts;1;1'476'333 CHF;986'687 CHF;980'641 CHF;1'430'656 CHF;1'469'332 CHF;1'212'169 CHF;1'338'038 CHF;1'208'832 CHF;1'381'818 CHF;1'213'064 CHF;1'438'900 CHF;
;;;;;;;;1005/A2310.0249;Zentrum Henry Dunant für den humanitären Dialog;1;935'750 CHF;950'000 CHF;950'000 CHF;940'500 CHF;;;;;;;;
;;;;;;;;1005/A2310.0251;Büro für internationale Matura, Genf;1;47'772 CHF;;;;;;;;;;;
;;;;;;;;1005/A2310.0252;Interessenwahrung der Schweiz in internationalen Gremien;1;680'140 CHF;899'024 CHF;742'000 CHF;877'892 CHF;893'089 CHF;894'571 CHF;985'492 CHF;1'012'792 CHF;897'114 CHF;1'043'074 CHF;1'130'000 CHF;
;;;;;;;;1005/A2310.0253;Europarat, Strassburg;1;8'110'500 CHF;8'504'351 CHF;9'031'036 CHF;8'865'134 CHF;9'034'761 CHF;8'873'796 CHF;8'318'540 CHF;8'073'200 CHF;7'268'162 CHF;7'640'961 CHF;8'098'100 CHF;
;;;;;;;;1005/A2310.0255;Beiträge der Schweiz an die UNO;1;82'083'466 CHF;116'559'275 CHF;79'999'135 CHF;126'758'443 CHF;151'784'949 CHF;111'987'521 CHF;147'856'271 CHF;130'410'400 CHF;68'569'735 CHF;126'341'575 CHF;101'790'400 CHF;
;;;;;;;;1005/A2310.0256;Sektion Schweizerischer Rat der Gemeinden + Regionen Europas;1;65'660 CHF;65'700 CHF;65'700 CHF;65'043 CHF;;;;;;;;
;;;;;;;;1005/A2310.0257;Organisation für Sicherheit + Zusammenarbeit in Europa OSZE;1;5'945'782 CHF;5'780'446 CHF;5'906'943 CHF;6'600'553 CHF;7'086'533 CHF;6'036'695 CHF;6'224'611 CHF;6'080'295 CHF;5'091'300 CHF;4'788'751 CHF;5'301'000 CHF;
;;;;;;;;1005/A2310.0260;Fonds Umweltprogramm der Vereinten Nationen (UNEP);1;3'504'617 CHF;3'545'500 CHF;3'601'700 CHF;3'763'683 CHF;3'858'700 CHF;;;;;;;
